layer,unit,description,similarity
layer4,0,washington,0.025817871
layer4,1,vending,0.036499023
layer4,2,segments,0.043441772
layer4,3,playing,0.02619934
layer4,4,cake,0.02458191
layer4,5,physicians,0.027130127
layer4,6,strawberry,0.03753662
layer4,7,destinations,0.02722168
layer4,8,dessert,0.029510498
layer4,9,lawn,0.031204224
layer4,10,kangaroo,0.032730103
layer4,11,menu,0.023727417
layer4,12,masks,0.030578613
layer4,13,fauna,0.026229858
layer4,14,washington,0.024520874
layer4,15,costumes,0.031036377
layer4,16,knitting,0.02909851
layer4,17,inmates,0.029403687
layer4,18,golf,0.035858154
layer4,19,strawberry,0.04284668
layer4,20,annapolis,0.035507202
layer4,21,vanilla,0.028503418
layer4,22,bread,0.03881836
layer4,23,steering,0.026870728
layer4,24,postage,0.029846191
layer4,25,tail,0.0345459
layer4,26,monument,0.024841309
layer4,27,carts,0.03263855
layer4,28,senegal,0.02947998
layer4,29,washington,0.028900146
layer4,30,oakley,0.037216187
layer4,31,strawberry,0.031677246
layer4,32,strawberry,0.025100708
layer4,33,terrier,0.03337097
layer4,34,cake,0.026687622
layer4,35,golfing,0.04222107
layer4,36,irrigation,0.032699585
layer4,37,blanket,0.02670288
layer4,38,putting,0.033691406
layer4,39,strawberry,0.028930664
layer4,40,washington,0.027282715
layer4,41,strawberry,0.03175354
layer4,42,sponge,0.037246704
layer4,43,beetle,0.02986145
layer4,44,mailbox,0.035476685
layer4,45,apron,0.028945923
layer4,46,vending,0.03616333
layer4,47,mailbox,0.037841797
layer4,48,kangaroo,0.03036499
layer4,49,specimens,0.029510498
layer4,50,vending,0.04348755
layer4,51,vending,0.037872314
layer4,52,aloe,0.036483765
layer4,53,golfing,0.032974243
layer4,54,helix,0.025817871
layer4,55,social,0.027862549
layer4,56,camping,0.032165527
layer4,57,harvesting,0.02268982
layer4,58,launch,0.024765015
layer4,59,blanket,0.033081055
layer4,60,detainees,0.029571533
layer4,61,beetle,0.03263855
layer4,62,bloodhound,0.040130615
layer4,63,faucet,0.045837402
layer4,64,carts,0.03366089
layer4,65,winchester,0.030960083
layer4,66,carts,0.022720337
layer4,67,carts,0.030426025
layer4,68,aloe,0.030273438
layer4,69,mailbox,0.037597656
layer4,70,gameplay,0.032958984
layer4,71,ibis,0.023590088
layer4,72,larvae,0.02923584
