layer,unit,description,similarity
layer4,73,dog,0.043777466
layer4,74,providence,0.035354614
layer4,75,terrier,0.0368042
layer4,76,tuner,0.028671265
layer4,77,faucet,0.027938843
layer4,78,bread,0.02998352
layer4,79,arcade,0.032562256
layer4,80,combines,0.030288696
layer4,81,vending,0.031295776
layer4,82,vending,0.0337677
layer4,83,lycos,0.030822754
layer4,84,spacecraft,0.025375366
layer4,85,detainees,0.02986145
layer4,86,tent,0.03303528
layer4,87,mating,0.044021606
layer4,88,mustang,0.03955078
layer4,89,homemade,0.022628784
layer4,90,annapolis,0.04156494
layer4,91,canine,0.03211975
layer4,92,hancock,0.021697998
layer4,93,golf,0.030181885
layer4,94,accelerator,0.022827148
layer4,95,camping,0.039611816
layer4,96,physician,0.028671265
layer4,97,packard,0.03173828
layer4,98,postcode,0.027114868
layer4,99,costumes,0.026794434
layer4,100,camping,0.035232544
layer4,101,costumes,0.036605835
layer4,102,vending,0.045944214
layer4,103,car,0.037246704
layer4,104,dog,0.029006958
layer4,105,underwater,0.030792236
layer4,106,annapolis,0.023727417
layer4,107,putting,0.031936646
layer4,108,golfing,0.04611206
layer4,109,profileprofile,0.031799316
layer4,110,aloe,0.029312134
layer4,111,golfing,0.038101196
layer4,112,strawberry,0.02558899
layer4,113,sweater,0.026977539
layer4,114,car,0.032714844
layer4,115,ears,0.02394104
layer4,116,annapolis,0.029663086
layer4,117,social,0.03288269
layer4,118,handbag,0.032943726
layer4,119,zeppelin,0.026412964
layer4,120,accelerator,0.022766113
layer4,121,mustang,0.032211304
layer4,122,terrier,0.034439087
layer4,123,vending,0.04083252
layer4,124,physician,0.024673462
layer4,125,electrode,0.028259277
layer4,126,mailbox,0.037826538
layer4,127,bag,0.02960205
layer4,128,mustang,0.029647827
layer4,129,beetle,0.025375366
layer4,130,vending,0.0320282
layer4,131,annapolis,0.037994385
layer4,132,aloe,0.024093628
layer4,133,mustang,0.025146484
layer4,134,vanilla,0.037216187
layer4,135,golfing,0.044815063
layer4,136,electrode,0.024795532
layer4,137,washington,0.028778076
layer4,138,stamps,0.028625488
layer4,139,lycos,0.034713745
layer4,140,detainees,0.032958984
layer4,141,carts,0.030151367
layer4,142,masks,0.030410767
layer4,143,trumpet,0.02720642
layer4,144,mustang,0.03340149
layer4,145,bread,0.02357483
layer4,146,bread,0.03327942
layer4,147,providence,0.022720337
layer4,148,strawberry,0.042556763
layer4,149,golfing,0.035812378
layer4,150,packard,0.029678345
layer4,151,brass,0.022399902
layer4,152,williamsburg,0.03164673
layer4,153,retriever,0.02243042
layer4,154,scorpio,0.030029297
layer4,155,reptiles,0.03227234
layer4,156,automobiles,0.021347046
layer4,157,putting,0.022155762
layer4,158,destinations,0.032562256
layer4,159,crab,0.031463623
layer4,160,carts,0.031021118
layer4,161,carts,0.03012085
layer4,162,canine,0.03404236
layer4,163,putting,0.021942139
layer4,164,deg,0.03466797
layer4,165,brass,0.033111572
layer4,166,physician,0.028518677
layer4,167,ghz,0.024169922
layer4,168,sierra,0.026031494
layer4,169,zeppelin,0.027923584
layer4,170,gdb,0.029525757
layer4,171,mustang,0.042419434
layer4,172,steering,0.02168274
layer4,173,instruments,0.03286743
layer4,174,steering,0.023498535
layer4,175,camping,0.037612915
layer4,176,bride,0.025665283
layer4,177,lycos,0.024993896
layer4,178,annapolis,0.03501892
layer4,179,carts,0.029403687
layer4,180,providence,0.024047852
layer4,181,spine,0.019439697
layer4,182,retriever,0.03930664
layer4,183,vending,0.03565979
layer4,184,dog,0.051712036
layer4,185,purse,0.026504517
layer4,186,cinderella,0.0262146
layer4,187,costumes,0.032791138
layer4,188,strawberry,0.04197693
layer4,189,camping,0.036224365
layer4,190,monument,0.024017334
layer4,191,segments,0.03427124
layer4,192,hancock,0.020980835
layer4,193,rats,0.028930664
layer4,194,tractors,0.03617859
layer4,195,rats,0.026260376
layer4,196,annapolis,0.03286743
layer4,197,esther,0.028045654
layer4,198,ghz,0.024169922
layer4,199,bread,0.04034424
layer4,200,camping,0.036499023
layer4,201,providence,0.024932861
layer4,202,social,0.027191162
layer4,203,rats,0.029663086
layer4,204,camping,0.04020691
layer4,205,vending,0.036071777
layer4,206,williamsburg,0.0317688
layer4,207,putting,0.02859497
layer4,208,golfing,0.04536438
layer4,209,vending,0.031036377
layer4,210,vending,0.037612915
layer4,211,carts,0.025512695
layer4,212,ant,0.032806396
layer4,213,kiosk,0.030258179
layer4,214,trumpet,0.023727417
layer4,215,packard,0.030029297
layer4,216,electrode,0.0259552
layer4,217,mustang,0.03994751
layer4,218,insect,0.021728516
layer4,219,putting,0.028045654
layer4,220,gameplay,0.031433105
layer4,221,hound,0.038223267
layer4,222,car,0.035491943
layer4,223,insect,0.026367188
layer4,224,minimal,0.022033691
layer4,225,purse,0.023284912
layer4,226,pesticides,0.02508545
layer4,227,concordia,0.026885986
layer4,228,rats,0.023406982
layer4,229,games,0.030349731
layer4,230,beetle,0.030044556
layer4,231,blanket,0.04008484
layer4,232,plains,0.022750854
layer4,233,nfs,0.025482178
layer4,234,strawberry,0.039382935
layer4,235,golfing,0.034118652
layer4,236,hancock,0.026641846
layer4,237,vanilla,0.02835083
layer4,238,hull,0.020080566
layer4,239,mauritania,0.024276733
layer4,240,mating,0.04222107
layer4,241,worm,0.03024292
layer4,242,trumpet,0.034561157
layer4,243,render,0.032043457
layer4,244,annapolis,0.0345459
layer4,245,washington,0.02722168
layer4,246,landmarks,0.02407837
layer4,247,social,0.020584106
layer4,248,ivtools,0.03163147
layer4,249,purse,0.028930664
layer4,250,mustang,0.034805298
layer4,251,purse,0.026748657
layer4,252,strawberry,0.035491943
layer4,253,escherichia,0.040405273
layer4,254,tailed,0.026992798
layer4,255,mailbox,0.029891968
layer4,256,sti,0.029327393
layer4,257,spiral,0.03390503
layer4,258,purse,0.030014038
layer4,259,crochet,0.036727905
layer4,260,golfing,0.035598755
layer4,261,reptiles,0.03363037
layer4,262,dog,0.03593445
layer4,263,campers,0.03475952
layer4,264,strawberry,0.03933716
layer4,265,snorkeling,0.026306152
layer4,266,golf,0.032089233
layer4,267,strawberry,0.032470703
layer4,268,annapolis,0.043151855
layer4,269,backgammon,0.022338867
layer4,270,ibis,0.027420044
layer4,271,purse,0.036224365
layer4,272,senegal,0.02079773
layer4,273,camping,0.032730103
layer4,274,banner,0.02494812
layer4,275,carts,0.026519775
layer4,276,camping,0.03286743
layer4,277,juvenile,0.026565552
layer4,278,detainees,0.023086548
layer4,279,male,0.034683228
layer4,280,strawberry,0.03479004
layer4,281,vending,0.03881836
layer4,282,packard,0.030654907
layer4,283,strawberry,0.026641846
layer4,284,faucet,0.025268555
layer4,285,maltese,0.029541016
layer4,286,bloodhound,0.038208008
layer4,287,annapolis,0.02633667
layer4,288,strawberry,0.033233643
layer4,289,purse,0.03491211
layer4,290,concordia,0.021362305
layer4,291,deg,0.04927063
layer4,292,motherboards,0.021499634
layer4,293,detainees,0.026153564
layer4,294,combines,0.027877808
layer4,295,garage,0.030807495
layer4,296,bahrain,0.024871826
layer4,297,mustang,0.04373169
layer4,298,detainees,0.031326294
layer4,299,vending,0.03829956
layer4,300,annapolis,0.049835205
layer4,301,winchester,0.033065796
layer4,302,pastel,0.037216187
layer4,303,physician,0.0256958
layer4,304,bloodhound,0.03704834
layer4,305,mailbox,0.038269043
layer4,306,gameplay,0.026412964
layer4,307,annapolis,0.030044556
layer4,308,tent,0.028137207
layer4,309,combines,0.030517578
layer4,310,cake,0.029388428
layer4,311,dog,0.044937134
layer4,312,car,0.032089233
layer4,313,strawberry,0.030456543
layer4,314,beetle,0.030181885
layer4,315,packard,0.037139893
layer4,316,williamsburg,0.034072876
layer4,317,missiles,0.027664185
layer4,318,plymouth,0.027816772
layer4,319,purse,0.026901245
layer4,320,costumes,0.039016724
layer4,321,strawberry,0.038467407
layer4,322,snorkeling,0.02746582
layer4,323,golfing,0.030685425
layer4,324,camping,0.033187866
layer4,325,bread,0.03137207
layer4,326,individual,0.040664673
layer4,327,bugzilla,0.02508545
layer4,328,faucet,0.027648926
layer4,329,masks,0.026000977
layer4,330,dog,0.033416748
layer4,331,faucet,0.035202026
layer4,332,wildlife,0.037094116
layer4,333,blankets,0.02746582
layer4,334,destinations,0.025756836
layer4,335,retriever,0.050216675
layer4,336,annapolis,0.030441284
layer4,337,profileprofile,0.024124146
layer4,338,worm,0.030883789
layer4,339,camping,0.03477478
layer4,340,myanmar,0.028884888
layer4,341,mailing,0.025177002
layer4,342,golfing,0.038375854
layer4,343,car,0.02861023
layer4,344,golf,0.036590576
layer4,345,dessert,0.035858154
layer4,346,myanmar,0.023529053
layer4,347,tolkien,0.025527954
layer4,348,vanilla,0.032180786
layer4,349,masks,0.030258179
layer4,350,faucet,0.03756714
layer4,351,golfing,0.04890442
layer4,352,packard,0.026168823
layer4,353,handbag,0.02444458
layer4,354,providence,0.025039673
layer4,355,vending,0.029006958
layer4,356,deg,0.048965454
layer4,357,cake,0.032546997
layer4,358,mailbox,0.039749146
layer4,359,putting,0.03263855
layer4,360,dock,0.026260376
layer4,361,vending,0.030334473
layer4,362,minimal,0.024642944
layer4,363,worm,0.023834229
layer4,364,capacitor,0.021347046
layer4,365,mailbox,0.029830933
layer4,366,arcade,0.031204224
layer4,367,concordia,0.028427124
layer4,368,faucet,0.050445557
layer4,369,camping,0.037612915
layer4,370,golfing,0.048171997
layer4,371,showroom,0.024169922
layer4,372,handbag,0.031188965
layer4,373,minimal,0.025924683
layer4,374,connector,0.021530151
layer4,375,strawberry,0.03538513
layer4,376,trumpet,0.027404785
layer4,377,mailbox,0.03527832
layer4,378,tent,0.027175903
layer4,379,vending,0.029846191
layer4,380,airmail,0.024002075
layer4,381,handbag,0.025741577
layer4,382,crochet,0.037200928
layer4,383,car,0.036453247
layer4,384,costumes,0.03656006
layer4,385,car,0.030395508
layer4,386,carts,0.037643433
layer4,387,detainees,0.027450562
layer4,388,golfing,0.039260864
layer4,389,faucet,0.02571106
layer4,390,zeppelin,0.023925781
layer4,391,expo,0.027954102
layer4,392,lycos,0.036590576
layer4,393,strawberry,0.031570435
layer4,394,tent,0.036346436
layer4,395,billiard,0.027450562
layer4,396,vending,0.04159546
layer4,397,bloodhound,0.031921387
layer4,398,nimh,0.024429321
layer4,399,camping,0.027557373
layer4,400,kangaroo,0.024734497
layer4,401,physician,0.022949219
layer4,402,vending,0.034820557
layer4,403,blanket,0.036514282
layer4,404,games,0.03239441
layer4,405,campers,0.037490845
layer4,406,angola,0.021209717
layer4,407,faucet,0.029663086
layer4,408,mailbox,0.03765869
layer4,409,worm,0.025054932
layer4,410,deg,0.032424927
layer4,411,sti,0.032302856
layer4,412,car,0.039535522
layer4,413,meridian,0.025802612
layer4,414,faucet,0.038879395
layer4,415,segments,0.029281616
layer4,416,dessert,0.026748657
layer4,417,strawberry,0.030578613
layer4,418,mustang,0.0398407
layer4,419,camping,0.03340149
layer4,420,purse,0.023208618
layer4,421,packard,0.031677246
layer4,422,wildlife,0.03652954
layer4,423,carts,0.03175354
layer4,424,pelican,0.025527954
layer4,425,bloodhound,0.026321411
layer4,426,vending,0.037612915
layer4,427,costumes,0.026916504
layer4,428,mating,0.039016724
layer4,429,camping,0.038391113
layer4,430,camping,0.033187866
layer4,431,vending,0.029006958
layer4,432,camping,0.037643433
layer4,433,escherichia,0.024871826
layer4,434,car,0.031967163
layer4,435,dessert,0.04032898
layer4,436,mustang,0.029464722
layer4,437,bread,0.038391113
layer4,438,trumpet,0.022033691
layer4,439,exhibitors,0.022003174
layer4,440,reproductive,0.023788452
layer4,441,deg,0.027252197
layer4,442,purse,0.028518677
layer4,443,spiral,0.02722168
layer4,444,mustang,0.045028687
layer4,445,putting,0.033203125
layer4,446,lighthouse,0.023071289
layer4,447,mustang,0.03907776
layer4,448,golfing,0.05177307
layer4,449,finepix,0.020324707
layer4,450,placebo,0.0317688
layer4,451,arlington,0.0284729
layer4,452,detainees,0.03173828
layer4,453,car,0.039108276
layer4,454,walks,0.027435303
layer4,455,zeppelin,0.025146484
layer4,456,subaru,0.020355225
layer4,457,dog,0.04458618
layer4,458,monument,0.027038574
layer4,459,scarf,0.03475952
layer4,460,carts,0.034729004
layer4,461,campers,0.02557373
layer4,462,larvae,0.030181885
layer4,463,bloodhound,0.03451538
layer4,464,spiral,0.031173706
layer4,465,mailing,0.025222778
layer4,466,vending,0.03303528
layer4,467,camping,0.02734375
layer4,468,detainees,0.029571533
layer4,469,hypermail,0.032104492
layer4,470,trumpet,0.03303528
layer4,471,wildlife,0.03691101
layer4,472,blanca,0.028579712
layer4,473,strawberry,0.03970337
layer4,474,garage,0.039108276
layer4,475,costumes,0.037704468
layer4,476,ecommerce,0.021087646
layer4,477,providence,0.027267456
layer4,478,packard,0.024124146
layer4,479,mustang,0.031234741
layer4,480,annapolis,0.02960205
layer4,481,narnia,0.025161743
layer4,482,lycos,0.042526245
layer4,483,pastel,0.03538513
layer4,484,blanket,0.040267944
layer4,485,marietta,0.020309448
layer4,486,axel,0.028503418
layer4,487,carts,0.028533936
layer4,488,nfs,0.019256592
layer4,489,fruit,0.03302002
layer4,490,putting,0.043502808
layer4,491,annapolis,0.029190063
layer4,492,wildlife,0.034225464
layer4,493,profileprofile,0.033065796
layer4,494,golf,0.025253296
layer4,495,vending,0.028503418
layer4,496,annapolis,0.029083252
layer4,497,golfing,0.031539917
layer4,498,vending,0.038635254
layer4,499,blanket,0.03692627
layer4,500,render,0.024215698
layer4,501,pod,0.025131226
layer4,502,deg,0.0315094
layer4,503,stamford,0.03327942
layer4,504,inhabitants,0.028717041
layer4,505,food,0.022735596
layer4,506,vending,0.031951904
layer4,507,camping,0.034072876
layer4,508,vending,0.046218872
layer4,509,mating,0.03440857
layer4,510,detainees,0.03463745
layer4,511,mustang,0.0393219
